type,blockId,stopId
lime-bus,481130190462,19727
lime-bus,481130004091,28051
lime-bus,481130190405,28936
lime-bus,481130209002,13009
lime-bus,481130209002,13009
lime-bus,481130204022,13015
lime-bus,481130204022,13015
lime-bus,481130204022,13028
lime-bus,481130204022,13028
lime-bus,481130209002,13034
lime-bus,481130209002,13034
lime-bus,481130209002,13035
lime-bus,481130209002,13035
lime-bus,481130078301,13195
lime-bus,481130078321,13195
lime-bus,481130078321,13239
lime-bus,481130078301,13239
lime-bus,481130209002,13256
lime-bus,481130209002,13256
lime-bus,481130208004,13296
lime-bus,481130208004,13296
lime-bus,481130208004,13296
lime-bus,481130208004,13296
lime-bus,481130020022,13458
lime-bus,481130020022,13458
lime-bus,481130007061,13542
lime-bus,481130007061,13542
lime-bus,481130007051,13555
lime-bus,481130007051,13555
lime-bus,481130027033,13569
lime-bus,481130027031,13569
lime-bus,481130204012,13604
lime-bus,481130027032,13606
lime-bus,481130027032,13606
lime-bus,481130031021,13733
lime-bus,481130031021,13733
lime-bus,481130022003,13879
lime-bus,481130020012,14135
lime-bus,481130008022,14234
lime-bus,481130008011,14234
lime-bus,481130008011,14249
lime-bus,481130008022,14249
lime-bus,481130100012,14303
lime-bus,481130100015,14303
lime-bus,481130079103,14312
lime-bus,481130077022,14342
lime-bus,481130077022,14342
lime-bus,481130077022,14342
lime-bus,481130099003,14359
lime-bus,481130099003,14359
lime-bus,481130077022,14384
lime-bus,481130004092,14416
lime-bus,481130004092,14416
lime-bus,481130019013,14431
lime-bus,481130017051,14431
lime-bus,481130017051,14437
lime-bus,481130019013,14437
lime-bus,481130004072,14451
lime-bus,481130004014,14451
lime-bus,481130059023,14528
lime-bus,481130006112,14630
lime-bus,481130006112,14630
lime-bus,481130003004,14878
lime-bus,481130009021,14903
lime-bus,481130008012,14908
lime-bus,481130016011,14908
lime-bus,481130016021,14912
lime-bus,481130016011,14912
lime-bus,481130008012,14912
lime-bus,481130008013,14918
lime-bus,481130003004,14941
lime-bus,481130031021,14963
lime-bus,481130031021,14963
lime-bus,481130031021,14963
lime-bus,481130031021,14963
lime-bus,481130132012,14986
lime-bus,481130132012,15084
lime-bus,481130204012,15121
lime-bus,481130204012,15121
lime-bus,481130121021,15159
lime-bus,481130121021,15159
lime-bus,481130211002,15312
lime-bus,481130005012,15400
lime-bus,481130031031,15408
lime-bus,481130031031,15408
lime-bus,481130005012,15421
lime-bus,481130099003,15461
lime-bus,481130099003,15461
lime-bus,481130004091,15492
lime-bus,481130100013,15492
lime-bus,481130211002,15578
lime-bus,481130211002,15578
lime-bus,481130020022,15589
lime-bus,481130020022,15645
lime-bus,481130211002,15654
lime-bus,481130208003,15842
lime-bus,481130208003,15842
lime-bus,481130208004,15891
lime-bus,481130208002,15891
lime-bus,481130211002,15951
lime-bus,481130211002,15951
lime-bus,481130209002,15955
lime-bus,481130209002,15955
lime-bus,481130209002,15965
lime-bus,481130209002,15965
lime-bus,481130211002,15967
lime-bus,481130211002,15967
lime-bus,481130165341,16084
lime-bus,481130165341,16084
lime-bus,481130108071,16169
lime-bus,481130108071,16169
lime-bus,481130100014,16188
lime-bus,481130100014,16188
lime-bus,481130004103,16293
lime-bus,481130004103,16293
lime-bus,481130006112,16308
lime-bus,481130006112,16308
lime-bus,481130006081,16308
lime-bus,481130017051,16317
lime-bus,481130100015,16450
lime-bus,481130100011,16450
lime-bus,481130100032,16453
lime-bus,481130100032,16453
lime-bus,481130100032,16453
lime-bus,481130167111,16588
lime-bus,481130167111,16588
lime-bus,481130110042,16719
lime-bus,481130110042,16719
lime-bus,481130110042,16748
lime-bus,481130110042,16748
lime-bus,481130110042,16748
lime-bus,481130016011,16774
lime-bus,481130016011,16774
lime-bus,481130081012,16840
lime-bus,481130081021,16840
lime-bus,481130081021,16885
lime-bus,481130081021,16885
lime-bus,481130100032,17108
lime-bus,481130100032,17112
lime-bus,481130100032,17112
lime-bus,481130100032,17120
lime-bus,481130100032,17120
lime-bus,481130100031,17139
lime-bus,481130100032,17149
lime-bus,481130100032,17149
lime-bus,481130100032,17157
lime-bus,481130100032,17157
lime-bus,481130122131,17183
lime-bus,481130122122,17195
lime-bus,481130122122,17195
lime-bus,481130125022,17276
lime-bus,481130125022,17276
lime-bus,481130119012,17362
lime-bus,481130119021,17362
lime-bus,481130118021,17378
lime-bus,481130118022,17378
lime-bus,481130110042,17443
lime-bus,481130112022,17452
lime-bus,481130112022,17452
lime-bus,481130092031,17470
lime-bus,481130090012,17473
lime-bus,481130122074,17493
lime-bus,481130112021,17516
lime-bus,481130165261,17541
lime-bus,481130165262,17541
lime-bus,481130165261,17541
lime-bus,481130165262,17541
lime-bus,481130109043,17542
lime-bus,481130108092,17667
lime-bus,481130108091,17667
lime-bus,481130192084,17835
lime-bus,481130031021,17981
lime-bus,481130031021,17981
lime-bus,481130116031,18004
lime-bus,481130107043,18008
lime-bus,481130107043,18008
lime-bus,481130020022,18029
lime-bus,481130020022,18029
lime-bus,481130031021,18116
lime-bus,481130031021,18116
lime-bus,481130190351,18140
lime-bus,481130185053,18146
lime-bus,481130185053,18146
lime-bus,481130185053,18146
lime-bus,481130078351,18157
lime-bus,481130078342,18157
lime-bus,481130078342,18166
lime-bus,481130078351,18166
lime-bus,481130099003,18324
lime-bus,481130099003,18324
lime-bus,481130137291,18354
lime-bus,481130031021,18526
lime-bus,481130031021,18526
lime-bus,481130141552,18531
lime-bus,481130141612,18540
lime-bus,481130141612,18540
lime-bus,481130149031,18555
lime-bus,481130149031,18555
lime-bus,481130100013,18561
lime-bus,481130100013,18561
lime-bus,481130100032,18571
lime-bus,481130100032,18572
lime-bus,481130100032,18572
lime-bus,484399800001,18594
lime-bus,481130143142,18604
lime-bus,481130143142,18604
lime-bus,481130141592,18615
lime-bus,481130141592,18615
lime-bus,481130141581,18622
lime-bus,481130067021,18706
lime-bus,481130067021,18706
lime-bus,481130067021,18738
lime-bus,481130147043,18818
lime-bus,481130147043,18818
lime-bus,481130144101,18922
lime-bus,481130152071,18944
lime-bus,481130151011,18944
lime-bus,481210216432,19087
lime-bus,481210216392,19087
lime-bus,481130207004,19156
lime-bus,481210216344,19225
lime-bus,480850318082,19278
lime-bus,481130132021,19350
lime-bus,481130132021,19350
lime-bus,481130192152,19421
lime-bus,481130190482,19695
lime-bus,481130190482,19695
lime-bus,481130190461,19762
lime-bus,480850319011,19802
lime-bus,480850320141,19802
lime-bus,481130137293,20030
lime-bus,481130192153,20043
lime-bus,481130192152,20043
lime-bus,481130027032,20128
lime-bus,481130141512,20238
lime-bus,481130141243,20238
lime-bus,481130147041,20248
lime-bus,481130190491,20395
lime-bus,481130190491,20395
lime-bus,481130031031,20431
lime-bus,481130031031,20431
lime-bus,481130031021,20444
lime-bus,481130031021,20444
lime-bus,481130108071,20496
lime-bus,481130108071,20496
lime-bus,481130204021,20529
lime-bus,481130031021,20529
lime-bus,481130185063,20544
lime-bus,481130185063,20544
lime-bus,481130185063,20549
lime-bus,481130185063,20549
lime-bus,481130125021,20576
lime-bus,481130125021,20576
lime-bus,481130108082,20646
lime-bus,481130108082,20646
lime-bus,481130204021,20685
lime-bus,481130204021,20685
lime-bus,481130141401,20716
lime-bus,481130141612,20716
lime-bus,480850318083,20814
lime-bus,480850318083,20814
lime-bus,480850319011,20873
lime-bus,480850319011,20873
lime-bus,481130031031,20997
lime-bus,481130031031,20997
lime-bus,481130100032,21012
lime-bus,481130100032,21012
lime-bus,481130031031,21020
lime-bus,481130031031,21020
lime-bus,481130031021,21024
lime-bus,481130031021,21024
lime-bus,481130108043,21089
lime-bus,481130100032,21101
lime-bus,481130100032,21101
lime-bus,481130125022,21142
lime-bus,481130125021,21142
lime-bus,481130128023,21152
lime-bus,481130128023,21152
lime-bus,481130100011,21209
